               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.016887,           0.0076903,           0.0021272,             0.99422,             0.98188,             0.99424,             0.90089,            0.004573,           0.0018953,          0.00060726,             0.00307,             0.00307,             0.00307
                  37,            0.017553,           0.0077723,           0.0024346,             0.99631,             0.99467,             0.99464,             0.90175,           0.0044069,           0.0016923,          0.00052399,            0.002872,            0.002872,            0.002872
                  38,            0.017115,           0.0079119,           0.0017305,             0.99722,              0.9943,             0.99478,               0.896,           0.0045741,           0.0016797,          0.00045348,            0.002674,            0.002674,            0.002674
                  39,            0.017537,           0.0078575,           0.0015237,             0.95238,              0.9687,             0.99395,             0.90492,           0.0043234,           0.0017028,           0.0023421,            0.002476,            0.002476,            0.002476
                  40,            0.017608,           0.0077549,           0.0017107,             0.99365,             0.98387,             0.99357,             0.90098,           0.0043067,            0.001652,          0.00066109,            0.002278,            0.002278,            0.002278
                  41,             0.01659,           0.0076067,            0.002394,             0.95675,             0.96718,             0.96826,             0.86178,            0.005271,            0.001929,           0.0022554,             0.00208,             0.00208,             0.00208
                  42,            0.016427,           0.0076327,           0.0020161,             0.99891,             0.99485,             0.99457,             0.91017,           0.0039423,           0.0017223,          0.00040013,            0.001882,            0.001882,            0.001882
                  43,            0.015424,            0.007512,           0.0024939,             0.92259,             0.96314,             0.98568,             0.90252,            0.004039,           0.0016845,             0.00423,            0.001684,            0.001684,            0.001684
                  44,            0.015826,           0.0072319,           0.0020035,             0.99636,             0.99616,             0.99372,             0.90482,           0.0040097,            0.001647,          0.00039994,            0.001486,            0.001486,            0.001486
                  45,            0.015466,           0.0073384,           0.0016075,             0.99042,             0.98173,             0.99332,             0.89557,           0.0040842,            0.001728,          0.00067471,            0.001288,            0.001288,            0.001288
                  46,             0.01486,           0.0073387,           0.0012564,             0.99927,             0.99517,             0.99476,             0.91526,           0.0036827,           0.0015759,          0.00033225,             0.00109,             0.00109,             0.00109
                  47,            0.014194,           0.0070501,           0.0014986,             0.99631,             0.99475,             0.99422,             0.91693,           0.0037566,           0.0015649,          0.00043666,            0.000892,            0.000892,            0.000892
                  48,            0.014899,           0.0072333,           0.0018185,             0.97611,             0.97447,             0.99205,             0.90662,           0.0040754,           0.0016081,           0.0012585,            0.000694,            0.000694,            0.000694
                  49,            0.014588,           0.0077305,           0.0021228,             0.98227,             0.99071,             0.99324,             0.90368,           0.0039705,           0.0016654,          0.00067543,            0.000496,            0.000496,            0.000496
